ID,Style ID,Name,OG Low,OG High,OG Plato Low,OG Plato High,FG Low,FG High,FG Plato Low,FG Plato High,Alcohol by Weight Low (%),Alcohol by Weight High (%),Volume Low (%),Volume High (%),Bitterness Low (IBU) ,Bitterness High (IBU) ,Color Low SRM,Color High SRM,Color Low EBC,Color High EBC,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Additional notes
11,1,Old Ale,1.058,1.088,14.3,21.1,1.014,1.03,3.6,7.6,5,7.2,6.3,9.1,30,65,12,30,24,60, Copper-red to very dark, Chill haze is acceptable at low temperatures, Fruity esters can enhance and complement the malt aroma and ﬂavor proﬁle. Old Ales have malt and sometimes caramel sweetness., Very low to medium, Present but minimal," Fruity esters can contribute to the character of these beers. Alcohol types can be varied and complex. A distinctive quality of Old Ales is that they undergo an aging process, often for years. Aging can occur on their yeast either in bulk storage or through conditioning in the bottle. This contributes to a rich, wine-like and often sweet oxidized character. Complex estery attributes may also emerge. Diacetyl is usually absent in these beers but may be present at very low levels.", Medium to full," Low level attributes typical of wood aging such as vanilla are acceptable. Brettanomyces and acidity reﬂect historical character; low level attributes such as horsey, goaty, leathery, phenolic, etc. and acidity may be present and balanced with other ﬂavors. Residual ﬂavors that come from liquids previously aged in a barrel, such as bourbon or sherry, should not be present."
12,1,English-Style Pale Mild Ale,1.03,1.036,7.6,9,1.004,1.008,1,2.1,2.7,3.4,3.4,4.4,10,20,6,9,12,18, Light amber to medium amber, Chill haze is acceptable at low temperatures, Malt ﬂavor and aroma dominate the ﬂavor proﬁle, Hop aroma and ﬂavor range from very low to low, Very low to low, Diacetyl is usually absent in these beers but may be present at very low levels. Fruity esters are very low to medium-low., Low to medium-low,
13,1,English-Style Dark Mild Ale,1.03,1.036,7.6,9,1.004,1.008,1,2.1,2.7,3.4,3.4,4.4,10,24,17,34,34,68, Reddish-brown to very dark, Chill haze is acceptable at low temperatures," Malt attributes such as caramel, licorice, roast or others may be present in aroma and flavor.", Very low, very low to low, Diacetyl is usually absent in these beers but may be present at very low levels. Fruity esters are very low to medium-low., Medium-low to medium,
14,1,English-Style Brown Ale,1.04,1.05,10,0.4,1.008,1.014,2.1,3.6,3.3,4.7,4.2,6,12,25,12,24,24,48, Copper to dark brown, Chill haze is acceptable at low temperatures, Roast malt may contribute to a biscuit or toasted aroma proﬁle. Roast malt may contribute to the ﬂavor proﬁle. Malt profile can range from dry to sweet., Very low, Very low to low, Low to medium-low level fruity esters are appropriate. Diacetyl is usually absent in these beers but may be present at very low levels., Medium,
15,1,Brown Porter,1.04,1.05,10,0.4,1.006,1.014,1.5,3.6,3.5,4.7,4.4,6,20,30,20,35,40,70, Dark brown to very dark. May have red tint.," Beer color may be too dark to perceive clarity. When clarity is perceivable, chill haze is acceptable at low temperatures.", Low to medium malt sweetness. Caramel and chocolate attributes are acceptable. Strong roast barley or strong burnt or black malt character should not be present., Very low to medium, Medium, Fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at low levels., Low to medium,
16,1,Robust Porter,1.045,1.06,11.2,14.7,1.008,1.016,2.1,4.1,4,5.2,5.1,6.6,25,40,30,,60,, Very dark brown to black, Opaque," Medium to medium-high. Malty sweetness, roast malt, cocoa and caramel should be in harmony with bitterness from dark malts.", Very low to medium, Medium to high, Fruity esters should be present and balanced with all other characters. Diacetyl should not be present., Medium to full,
17,1,Sweet Stout or Cream Stout,1.045,1.056,11.2,13.8,1.012,1.02,3.1,5.1,2.5,5,3.2,6.3,15,25,40,,80,, Black, Opaque," Medium to medium-high. Malt sweetness, chocolate and caramel should contribute to the aroma and should dominate the ﬂavor proﬁle. Roast ﬂavor may be present. Low to medium-low roasted malt-derived bitterness should be present.", Should not be present, Low to medium-low and serves to balance and suppress some of the sweetness without contributing apparent ﬂavor and aroma," Fruity esters, if present, are low. Diacetyl should not be present.", Full-bodied. Body can be increased with the addition of milk sugar (lactose).,
18,1,Oatmeal Stout,1.038,1.056,9.5,3.8,1.008,1.02,2.1,5.1,3,4.8,3.8,6.1,20,40,20,,40,, Dark brown to black," Beer color may be too dark to perceive. When clarity is perceivable, chill haze is acceptable at low temperatures."," Coffee, caramel, roasted malt or chocolate aromas should be prominent. Roasted malt character of caramel or chocolate should be smooth without bitterness."," Optional, but if present should not upset the overall balance.", Medium," Oatmeal is used in the grist, resulting in a pleasant, full ﬂavor without being grainy. Fruity esters are not present to very low. Diacetyl is usually absent in these beers but may be present at very low levels.", Full,
19,1,Scotch Ale or Wee Heavy,1.072,1.085,17.5,20.4,1.016,1.028,4.1,7.1,5.2,6.7,6.6,8.5,25,35,15,30,30,60, Light reddish-brown to very dark, Chill haze is acceptable at low temperatures, Scotch Ales are aggressively malty with a rich and dominant sweet malt aroma and ﬂavor. A caramel character is often part of the proﬁle. Dark roasted malt ﬂavors may be present at low levels., Not present to very low, Not present to very low," Fruity esters, if present, are generally at low levels. Diacetyl is usually absent in these beers but may be present at low levels.", Full," Pleasant, low level oxidation is acceptable in Scotch Ales. Examples exhibiting more prevalent oxidation are categorized as Aged Beer. While there are conflicting theories as to whether traditional Scotch Ales exhibited peat smoke character, the current marketplace offers many examples with peat smoke character present at low to medium levels. Peat smoke attributes may be absent or present at low to medium levels. Versions exhibiting higher levels of smoke character are categorized as Smoke Beer."
20,1,British-Style Imperial Stout,1.08,1.1,19.3,23.7,1.02,1.03,5.1,7.6,5.5,9.5,7,12,45,65,20,35,40,70," Ranging from dark copper typical of some historic examples, to very dark more typical of contemporary examples"," Opaque in darker versions. When clarity is perceivable, chill haze is acceptable at low temperatures."," Extremely rich malty ﬂavor, often expressed as toffee or caramel, and may be accompanied by very low roasted malt astringency."," Very low to medium, with ﬂoral, citrus or herbal qualities.", Medium and should not overwhelm the overall balance. The bitterness may be higher in darker versions while maintaining balance with sweet malt., High alcohol content is evident. Fruity esters if present are medium to high. Diacetyl should not be present., Full, This style was also originally called “Russian Imperial Stout.”
21,1,British-Style Barley Wine Ale,1.085,1.12,20.4,28,1.024,1.028,6.1,7.1,6.7,9.6,8.5,12.2,40,65,11,36,22,72, Tawny copper to deep red/copper-garnet, Chill haze is acceptable at low temperatures, Residual malty sweetness is high, Hop aroma and ﬂavor are very low to medium. English type hops are often used but are not required for this style., Low to medium, Complexity of alcohols and fruity ester attributes are often high and balanced with the high alcohol content. Low levels of diacetyl are acceptable. Caramel and some oxidized character (vinous aromas and/or ﬂavors) may be considered positive attributes., Full,
22,2,Irish-Style Red Ale,1.04,1.048,10,0.9,1.01,1.014,2.6,3.6,3.2,3.8,4,4.8,20,28,11,18,22,36, Copper-red to reddish-brown, Chill haze or yeast haze may be present at low levels, Low to medium candy-like caramel malt sweetness should be present in ﬂavor. A toasted malt character should be present and there may be a slight roast barley or roast malt presence., Not present to medium, Medium, Low level fruity esters are acceptable. Diacetyl is usually absent in these beers but may be present at very low levels., Medium,
23,2,Classic Irish-Style Dry Stout,1.038,1.048,9.5,1.9,1.008,1.012,2.1,3.1,3.2,4.2,4.1,5.3,30,40,40,,80,, Black, Opaque, The prominence of coffee-like roasted barley and a moderate degree of roasted malt aroma and flavor deﬁnes much of the character. The hallmark dry-roasted attributes typical of Dry Stout result from the use of roasted barley. Initial malt and light caramel ﬂavors give way to a distinctive dry-roasted bitterness in the ﬁnish., European hop character may range from not present to low in aroma and ﬂavor, Medium to medium-high, Fruity esters are low relative to malt and roasted barley as well as hop bitterness. Diacetyl is usually absent in these beers but may be present at very low levels. Slight acidity may be present but is not required., Medium-light to medium, Head retention should be persistent
24,2,Export-Style Stout,1.052,1.072,12.9,17.5,1.008,1.02,2.1,5.1,4.5,6.4,5.6,8,30,60,40,,80,, Black, Opaque, Coffee-like roasted barley and roasted malt aromas are prominent. Initial malt and light caramel ﬂavors give way to a distinctive dry-roasted bitterness in the ﬁnish., Should not be present," May be analytically high, but the perception is lessened by malt sweetness.", Fruity esters are low. Diacetyl is usually absent in these beers but may be present at very low levels. Slight acidity is acceptable., Medium to full, Head retention should be persistent
25,3,Golden or Blonde Ale,1.045,1.054,11.2,13.3,1.008,1.016,2.1,4.1,3.2,4,4.1,5.1,15,25,3,7,6,14, Straw to gold, Chill haze should not be present," Low malt sweetness and toast, cereal-like or other pale malt attributes should be present in ﬂavor and aroma at low to medium-low levels."," Hop aroma and ﬂavor should be medium-low to medium, with attributes typical of hops of any origin present but not dominant.", Low to medium, Fruity esters may be present at low to medium-low levels. Diacetyl and DMS should not be present., Low to medium with a crisp finish,
26,3,American-Style Amber/Red Ale,1.048,1.058,11.9,14.3,1.01,1.018,2.5,4.6,3.5,4.8,4.4,6.1,25,45,11,18,22,36, Copper to reddish-brown, Chill haze is acceptable at low temperatures, Medium-high to high maltiness with low to medium caramel character, American-variety hop character may range from low to medium-low in aroma and flavor, Medium to medium-high," Fruity esters, if present, are low. Diacetyl is usually absent in these beers but may be present at very low levels.", Medium to medium-high,
27,3,American-Style Pale Ale,1.044,1.05,11,0.4,1.008,1.014,2.1,3.6,3.5,4.3,4.4,5.4,30,50,4,7,8,14, Straw to light amber, Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature., Low caramel malt aroma is allowable. Low to medium maltiness may include low caramel malt character.," High, exhibiting ﬂoral, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, citrusy, piney or resinous character that was originally associated with American-variety hops. Hops with these attributes now also originate from countries other than the U.S.", Medium to medium-high, Fruity esters may be low to high. Diacetyl should not be present., Medium,
28,3,Juicy or Hazy Pale Ale,1.044,1.05,11,0.4,1.008,1.014,2.1,3.6,3.5,4.3,4.4,5.4,5,30,3,7,6,14, Straw to light amber," Low to very high degree of cloudiness is typical of these beers. Starch, yeast, hop, protein and/or other compounds contribute to a wide range of hazy appearance within this category.", Low to medium-low malt aroma and flavor may be present," Medium-high to very high hop aroma and flavor are present, with attributes typical of hops from any origin.", Low to medium. The impression of bitterness is soft and well-integrated into overall balance and may differ significantly from measured or calculated IBU levels., Medium-low to medium-high fruity esters are present and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present., Medium-low to medium-high. Perceived silky or full mouthfeel may contribute to overall flavor profile.," Grist may include oats, wheat or other adjuncts to promote haziness. The term “juicy” is frequently used to describe taste and aroma attributes often present in these beers which result from late, often very large, additions of hops. A juicy character is not required, however. Other hop-derived attributes such as citrus, pine, spice, floral or others may be present with or without the presence of juicy attributes."
29,3,American-Style Strong Pale Ale,1.05,1.06,12.4,14.7,1.008,1.016,2.1,4.1,4.4,5.6,5.6,7,40,50,4,14,8,28, Pale to copper, Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature., Low caramel malt aroma is allowable. Low level maltiness may include low caramel malt character.," High, exhibiting ﬂoral, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, citrusy, piney or resinous character that was originally associated with American-variety hops. Hops with these attributes now also originate from countries other than the USA.", High, Fruity esters may be low to high. Diacetyl should not be present., Medium,
30,3,Juicy or Hazy Strong Pale Ale,1.05,1.06,12.4,14.7,1.008,1.016,2.1,4.1,4.4,5.6,5.6,7,20,40,3,7,6,14, Straw to deep light amber," Low to very high degree of cloudiness is typical of these beers. Starch, yeast, hop, protein and/or other compounds contribute to a wide range of hazy appearance within this category.", Low to medium-low malt aroma and flavor may be present," Medium-high to very high hop aroma and flavor are present, with attributes typical of hops from any origin.", Low to medium. The impression of bitterness is soft and well-integrated into overall balance and may differ significantly from measured or calculated IBU levels., Medium-low to medium-high fruity esters may be present and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present., Medium-low to medium-high. A silky or full mouthfeel may contribute to overall flavor profile.," Grist may include oats, wheat or other adjuncts to promote haziness. The term “juicy” is frequently used to describe taste and aroma attributes often present in these beers which result from late, often very large, additions of hops. A juicy character is not required, however. Other hop-derived attributes such as citrus, pine, spice, floral or others may be present with or without the presence of juicy attributes."
31,3,American-Style India Pale Ale,1.06,1.07,14.7,17.1,1.01,1.016,2.5,4.1,5,6,6.3,7.5,50,70,6,12,12,24, Gold to copper, Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature., Medium-low to medium intensity malt attributes are present in aroma and ﬂavor," High, exhibiting ﬂoral, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, citrusy, piney or resinous character that was originally associated with American-variety hops. Hops with these attributes now also originate from countries other than the USA.", Medium-high to very high, Fruity esters are low to high. Diacetyl and DMS should not be present., Medium-low to medium," The use of water with high mineral content may result in a crisp, dry beer rather than a malt-accentuated version. Sugar adjuncts may be used to enhance body and balance. Hops of varied origins may be used for bitterness or for approximating traditional American character. Versions of this style brewed with darker malts, non-traditional ale yeasts, fruits, spices or other flavorings are categorized as Experimental India Pale Ales."
32,3,Juicy or Hazy India Pale Ale,1.06,1.07,14.7,17.1,1.008,1.02,2,5,5,6,6.3,7.5,30,50,3,7,6,14, Straw to deep light amber," Low to very high degree of cloudiness is typical of these beers. Starch, yeast, hop, protein and/or other compounds contribute to a wide range of hazy appearance within this category.", Low to medium-low malt aroma and flavor may be present," Medium-high to very high hop aroma and flavor are present, with attributes typical of hops from any origin", Low to medium. The impression of bitterness is soft and well-integrated into overall balance and may differ significantly from measured or calculated IBU levels.," Medium to medium-high fruity esters are present, and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present.", Medium-low to medium-high. A silky or full mouthfeel may contribute to overall flavor profile.," Grist may include oats, wheat or other adjuncts to promote haziness. Lactose may be used to enhance body and balance. Lactose should not lend to, or overwhelm, the flavor character of these beers. The term “juicy” is frequently used to describe taste and aroma attributes often present in these beers which result from late, often very large, additions of hops. A juicy character is not required, however. Other hop-derived attributes such as citrus, pine, spice, floral or others may be present with or without the presence of juicy attributes. Versions of this style brewed with darker malts, non-traditional ale yeasts, fruits, spices or other flavorings are categorized as Experimental India Pale Ales."
33,3,American-Belgo-Style Ale,,,,,,,,,,,,,,,,,,, Gold to black, Should conform the base beer style, Typically low. Perception of specialty or roasted malts or barley can be very low to robust in darker versions.," Medium to very high, exhibiting American-type hop aromas not usually found in traditional Belgian styles.", Medium to very high," Fruity esters are medium to high. Belgian yeast attributes such as banana, berry, apple, coriander, spice and/or smoky-phenolic should be in balance with malt and hops. Diacetyl, sulfur and attributes typical of Brettanomyces should not be present.", Medium-low to medium," American-Belgo-Style Ales are either 1) non-Belgian beer types portraying the unique characters imparted by yeasts typically used in big, fruity Belgian-style ales, or 2) deﬁned Belgian-style beers displaying the hallmark attributes typical of American variety hops. These beers are unique unto themselves."
34,3,American-Style Brown Ale,1.04,1.06,10,0.7,1.01,1.018,2.6,4.6,3.3,5,4.2,6.3,30,45,15,26,30,52, Deep copper to very dark brown, Chill haze is acceptable at low temperatures," Medium levels of roasted malt, caramel and chocolate aromas and flavors should be present.", Medium-low to medium-high, Medium to high, Low to medium-low fruity esters may be present. Diacetyl should not be present., Medium,
35,3,American-Style Black Ale,1.056,1.075,13.8,18.2,1.012,1.018,3.1,4.6,5,6,6.3,7.6,40,70,35,,70,, Very dark to black, Opaque, Low to medium-low caramel malt and dark roasted malt aromas and ﬂavors are present. Astringency and burnt character of roast malt should be absent.," Medium-high to high, with fruity, citrusy, piney, ﬂoral, herbal or other aromas derived from hops of all origins.", Medium-high to high, Fruity esters are low to medium. Diacetyl should not be present., Medium, Black ales that don’t meet the specifications for American-Style Black Ale may possibly be categorized as Experimental India Pale Ale category.
36,3,American-Style Stout,1.05,1.075,12.4,18.2,1.01,1.022,2.6,5.6,4.5,6.4,5.7,8,35,60,40,,80,, Black, Opaque," Coffee-like roasted barley and roasted malt aromas are prominent. Low to medium malt sweetness with low to medium caramel, chocolate, and/or roasted coffee ﬂavor should be present, with a distinct dry-roasted bitterness in the ﬁnish. Astringency from roasted malt and roasted barley is low. Slight roasted malt acidity is acceptable."," Medium to high, often with citrusy and/or resiny hop qualities typical of many American hop varieties.", Medium to high, Fruity esters are low. Diacetyl is usually absent in these beers but may be present at very low levels., Medium to full, Head retention should be persistent
37,3,American-Style Imperial Porter,1.08,1.1,19.3,23.7,1.02,1.03,5.1,7.6,5.5,9.5,7,12,35,50,40,,80,, Black, Opaque," No roast barley or strong burnt/black malt character should be present. Medium malt, caramel and cocoa sweetness should be present.", Low to medium-high, Medium-low to medium, Fruity esters are present but not overpowering and should complement hop character and malt-derived sweetness. Diacetyl should not be present absent., Full,
38,3,American-Style Imperial Stout,1.08,1.1,19.3,23.7,1.02,1.03,5.1,7.6,5.5,9.5,7,12,50,80,40,,80,, Black, Opaque, Extremely rich malty aroma is typical. Extremely rich malty ﬂavor with full sweet malt character is typical. Roasted malt astringency and bitterness can be moderate but should not dominate the overall character.," Medium-high to high with ﬂoral, citrus and/or herbal character.", Medium-high to very high and balanced with rich malt character., Fruity esters are high. Diacetyl should not be present., Full,
39,3,Double Hoppy Red Ale,1.058,1.08,14.3,19.3,1.015,1.024,3.9,6.1,4.9,6.3,6.1,7.9,45,80,10,17,20,34, Deep amber to dark copper/reddish-brown, Chill haze is acceptable at low temperatures, Medium to medium-high caramel malt character should be present in ﬂavor and aroma. Low to medium biscuit or toasted malt character may also be present.," Hop aroma is high, derived from any variety of hops. Hop ﬂavor is high and balanced with other beer attributes.", High to very high, Alcohol content is medium to high. Complex alcohol ﬂavors may be present. Fruity esters are medium. Diacetyl should not be present., Medium to full,
40,3,Imperial Red Ale,1.08,1.1,19.3,23.7,1.02,1.028,5.1,7.1,6.3,8.4,8,10.6,55,85,10,17,20,34, Deep amber to dark copper/reddish-brown, Chill haze is acceptable at low temperatures, Medium to high caramel malt character is present in aroma and ﬂavor," High, derived from any variety of hops. Hop ﬂavor is prominent and balanced with other beer attributes.", Very high, Very high alcohol is a hallmark of this style. Complex alcohol ﬂavors may be present. Fruity esters are medium. Diacetyl should not be present., Full,
41,3,American-Style Imperial or Double India Pale Ale,1.07,1.1,17.1,23.7,1.012,1.02,3.1,5.1,6,8.4,7.6,10.6,65,100,2,9,4,18, Straw to medium amber, Chill haze is acceptable at low temperatures. Haze created by dry hopping is allowable at any temperature., Low to medium pale malt character is typical. Low pale caramel malt character may be present.," Hop aroma and ﬂavor is very high. Hop character should be fresh and evident, derived from any variety of hops. Hop ﬂavor should not be harsh.", Very high but not harsh, Alcohol content is medium-high to high and evident. Fruity esters are medium to high. Diacetyl should not be present., Medium to full," This style of beer should exhibit the fresh character of hops. Oxidized or aged character should not be present. Versions of this style brewed with darker malts, non-traditional ale yeasts, fruits, spices or other flavorings are categorized as Experimental India Pale Ales."
42,3,Juicy or Hazy Imperial or Double India Pale Ale,1.07,1.1,17.1,23.7,1.012,1.024,3.1,6,6,8.4,7.6,10.6,45,80,3,7,6,14, Straw to light amber," Low to very high degree of cloudiness is typical of these beers. Starch, yeast, hop, protein and/or other compounds contribute to a wide range of hazy appearance within this category.", Low to high malt aroma and flavor may be present," High to very high hop aroma and flavor are present, with attributes typical of hops from any origin."," Low to medium. The impression of bitterness is soft and well-integrated into overall balance, and may differ significantly from measured or calculated IBU levels."," Medium-high to high fruity esters are present, and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present.", Medium to high. A silky or full mouthfeel may contribute to overall flavor profile.," Grist may include oats, wheat or other adjuncts to promote haziness. The term “juicy” is frequently used to describe taste and aroma hop-derived attributes often present in these beers which result from late, often very large, additions of hops. A juicy character is not required, however. Other hop-derived attributes such as citrus, pine, spice, floral or others may be present with or without the presence of juicy attributes. Versions of this style brewed with darker malts, non-traditional ale yeasts, fruits, spices or other flavorings are categorized as Experimental India Pale Ales."
43,3,American-Style Barley Wine Ale,1.09,1.12,21.6,28,1.024,1.028,6.1,7.1,6.7,9.6,8.5,12.2,60,100,11,18,22,36, Amber to deep red/copper-garnet, Chill haze is acceptable at low temperatures," Caramel and/or toffee malt aromas are often present. High residual malty sweetness, often with caramel and/or toffee ﬂavors, should be present."," Medium to very high. American hop varieties are often used, but are not required for this style.", High, Complex alcohols are evident. Fruity esters are often high. Diacetyl is usually absent in these beers but may be present at very low levels., Full," Vinous, sherry-like or port-like attributes arising from oxidation may be considered positive when in harmony with overall flavor profile."
44,3,American-Style Wheat Wine Ale,1.088,1.12,21.1,28,1.024,1.032,6.1,8,6.7,9.6,8.5,12.2,45,85,5,,10,, Gold to black, Chill haze is acceptable at low temperatures," Bread, wheat, honey and/or caramel malt aromas and flavors are often present. High residual malt sweetness should be present.", Low to medium, Medium to medium-high," Fruity esters are often high and balanced by a complexity of alcohols and high alcohol content. Diacetyl is usually absent in these beers but may be present at very low levels. Phenolic yeast character, sulfur, and/or DMS should not be present. Oxidized, stale and aged attributes are not typical of this style.", Full, This style is brewed with at least 50% wheat malt.
